sentence	name	link
 Справа горбатое обглоданное поле, слева чахлый перелесок, а возле него серые драные избы, штук пять и шесть.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И кажется, что в них нет ни одной живой души.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" Молчание, молчание кругом""."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Чемодан наконец поддался.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Возница налег на него животом и выпихнул его прямо на меня.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я хотел удержать его за ремень, но рука отказалась работать, и распухший, осточертевший мой спутник с книжками и всяким барахлом плюхнулся прямо на траву, шарахнув меня по ногам.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Эх ты, Госпо... — начал возница испуганно, но я никаких претензий не предъявлял — ноги у меня были все равно хоть выбрось их.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Эй, кто тут?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Эй! — закричал возница и захлопал руками, как петух крыльями.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Эй, доктора привез!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Тут в темных стеклах фельдшерского домика показались лица, прилипли к ним, хлопнула дверь, и вот я увидел, как заковылял по траве ко мне человек в рваненьком пальтишке и сапожишках.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Он почтительно и торопливо снял картуз, подбежал на два шага ко мне, почему-то улыбнулся стыдливо и хриплым голоском приветствовал меня: — Здравствуйте, товарищ доктор.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Кто вы такой? — спросил я.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Егорыч я, — отрекомендовался человек, — сторож здешний.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Уж мы вас ждем, ждем...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И тут же он ухватился за чемодан, вскинул его на плечо и понес.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я захромал за ним, безуспешно пытаясь всунуть руку в карман брюк, чтобы вынуть портмоне.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Человеку, в сущности, очень немного нужно.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И прежде всего ему нужен огонь.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Направляясь в мурьевскую глушь, я, помнится, еще в Москве давал себе слово держать себя солидно.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Мой юный вид отравлял мне существование на первых шагах.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Каждому приходилось представляться: — Доктор такой-то.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И каждый обязательно поднимал брови и спрашивал: — Неужели?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А я-то думал, что вы еще студент.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" — Нет, я кончил, — хмуро отвечал я и думал ""очки мне нужно завести, вот что""."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Но очки было заводить не к чему, глаза у меня были здоровые, и ясность их еще не была омрачена житейским опытом.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Не имея возможности защищаться от всегдашних снисходительных и ласковых улыбок при помощи очков, я старался выработать особую, внушающую уважение, повадку.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Говорить пытался размеренно и веско, порывистые движения по возможности сдержать, не бегать, как бегают люди в двадцать три года, окончившие университет, а ходить.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Выходило все это, как теперь, по прошествии многих лет, понимаю, очень плохо.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 В данный момент я этот свой неписаный кодекс поведения нарушил.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Сидел, скорчившись, сидел в одних носках, и не где-нибудь в кабинете, а сидел в кухне и, как огнепоклонник, вдохновенно и страстно тянулся к пылающим в плите березовым поленьям.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 На левой руке у меня стояла перевернутая дном кверху кадушка, и на ней лежали мои ботинки, рядом с ними ободранный, голокожий петух с окровавленной шеей, рядом с петухом его разноцветные перья грудой.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Дело в том, что еще в состоянии окоченения я успел произвести целый ряд действий, которых потребовала сама жизнь.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Востроносая Аксинья, жена Егорыча, была утверждена мною в должности моей кухарки.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Вследствие этого и погиб под ее руками петух.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Его я должен был съесть.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я со всеми перезнакомился.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Фельдшера звали Демьян Лукич, акушерок — Пелагея Ивановна и Анна Николаевна.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я успел обойти больницу и с совершеннейшей ясностью убедился в том, что инструментарий в ней богатейший.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 При этом с тою же ясностью я вынужден был признать (про себя, конечно), что очень многих блестящих девственно инструментов назначение мне вовсе неизвестно.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я их не только не держал в руках, но даже, откровенно признаюсь, и не видел.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Гм, — очень многозначительно промычал я, — однако у вас инструментарий прелестный.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Гм...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Как же-с, — сладко заметил Демьян Лукич, — это все стараниями вашего предшественника Леопольда Леопольдовича.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Он ведь с утра до вечера оперировал.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Тут я облился прохладным потом и тоскливо поглядел на зеркальные сияющие шкафики.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Засим мы обошли пустые палаты, и я убедился, что в них свободно можно разместить сорок человек.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — У Леопольда Леопольдовича иногда и пятьдесят лежало, — утешал меня Демьян Лукич, а Анна Николаевна, женщина в короне поседевших волос, к чему-то сказала: — Вы, доктор, так моложавы, так моложавы...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Прямо удивительно.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Вы на студента похожи.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Фу ты, черт, — подумал я, — как сговорились, честное слово!"" И проворчал сквозь зубы, сухо: — Гм... нет, я..."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Затем мы спустились в аптеку, и сразу я увидел, что в ней не было только птичьего молока.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 В темноватых двух комнатах крепко пахло травами, и на полках стояло все что угодно.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Были даже патентованные заграничные средства, и нужно ли добавлять, что я никогда не слыхал о них ничего.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 — Леопольд Леопольдович выписал, — с гордостью доложила Пелагея Ивановна.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Прямо гениальный человек был этот Леопольд"", — подумал я и проникся уважением к таинственному, покинувшему тихое Мурье, Леопольду."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Человеку, кроме огня, нужно еще освоиться.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Петух был давно мною съеден, сенник для меня набит Егорычем, покрыт простыней, горела лампа в кабинете в моей резиденции.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я сидел и, как зачарованный, глядел на третье достижение легендарного Леопольда: шкаф был битком набит книгами.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Одних руководств по хирургии на русском и немецком языках я насчитал бегло около тридцати томов.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А терапия!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Накожные чудные атласы!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Надвигался вечер, и я осваивался.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Я ни в чем не виноват, — думал я упорно и мучительно, — у меня есть дом, я имею пятнадцать пятерок."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я же предупреждал еще в том большом городе, что хочу идти вторым врачом.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Нет.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" Они улыбались и говорили: ""освоитесь""."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Вот тебе и освоитесь.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А если грыжу привезут?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Объясните, как я с ней освоюсь?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 И в особенности, каково будет себя чувствовать больной с грыжей у меня под руками?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Освоится он на том свете (тут у меня холод по позвоночнику)...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А гнойный аппендицит?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Га!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А дифтерийный круп у деревенских ребят?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Когда трахеотомия показана?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Да и без трахеотомии будет мне не очень хорошо...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А... а...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Роды-то забыл!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Неправильные положения.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Что ж я буду делать?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 А?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Какой я легкомысленный человек!	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Нужно было отказаться от этого участка.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Нужно было.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" Достали бы себе какого-нибудь Леопольда""."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 В тоске и сумерках я прошелся по кабинету.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Когда поравнялся с лампой, увидел, как в безграничной тьме полей мелькнул мой бледный лик рядом с огоньками лампы в окне.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Я похож на Лжедмитрия"", — вдруг глупо подумал я и опять уселся за стол."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Часа два в одиночестве я мучил себя и домучил до тех пор, что уж больше мои нервы не выдерживали созданных мною страхов.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Тут я начал успокаиваться и даже создавать некоторые планы.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Так-с...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Прием, они говорят, сейчас ничтожный.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 В деревнях мнут лен, бездорожье...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Тут тебе грыжу и привезут, — бухнул суровый голос в мозгу, — потому что по бездорожью человек с насморком (нетрудная болезнь) не поедет, а грыжу притащат, будь покоен, дорогой коллега доктор""."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Голос был неглуп, не правда ли?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Я вздрогнул.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Молчи, — сказал я голосу, — не обязательно грыжа."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Что за неврастения?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" Взялся за гуж, не говори, что не дюж""."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Назвался груздем, полезай в кузов"", — ехидно отозвался голос."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Так-с... со справочником я расставаться не буду...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Если что выписать, можно, пока руки моешь, обдумать.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Справочник будет раскрытым лежать прямо на книге для записей больных.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Буду выписывать полезные, но нетрудные рецепты.	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 Ну, например, natrii salicilici 0,5 по одному порошку три раза в день...	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
" ""Соду можно выписать!"" — явно издеваясь, отозвался мой внутренний собеседник."	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
 При чем тут сода?	Михаил Булгаков. Полотенце с петухом.	http://az.lib.ru/b/bulgakow_m_a/text_01_1926_polotentze_s_petuhom.shtml
